Company Name,Batch,Short Description,Founder Name(s),Founder LinkedIn URL(s)
Martini,W26,,Not found,Not found
Shofo,W26,,Get Started; Complete Social,Not found
GrazeMate,W26,,Not found,Not found
Ritivel,W26,,Try Search; Try Regulatory,Not found
SpotPay,W26,,Global Payments; Local Love,Not found
Veriad,W26,,Before Veriad; After Veriad,Not found
Coevolved,W26,,Not found,Not found
Fed10,W26,,Stop Reacting; To Legislative,Not found
Squid,W26,,About Us; San Francisco,Not found
Scout Out,W26,,Property Address; Phone Number,Not found
Corelayer,W26,,Privacy Policy,Not found
Chasi,W26,,Busy Work; Give Every,Not found
o11,W26,,Log In; Workspace Inside,Not found
Sequence Markets,W26,,The Execution; The Execution,Not found
Arzule,W26,,Sign In; Get Started,Not found
Bubble Lab,W26,,Build Now; Launch Special,Not found
Pocket,W26,,United Kingdom; United States,Not found
Constellation Space,W26,,Request Demo; Learn More,Not found
AxionOrbital Space,W26,,Case Studies; Contact Us,Not found
Caretta,W26,,Sales Call; Also Backed,Not found
Human Archive,W26,,Human Archive,Not found
Ressl AI,W26,,Use Cases; Join Slack,Not found
SideKit,W26,,Try It; One Harness,Not found
Clice AI,W26,,Not found,Not found
Chamber,W26,,Infrastructure Optimization; Discover Your,Not found
"BellabeatSan Francisco, CA, USA",Unknown,Tech-powered women's wellness.,Startup Jobs; Active Founders,Not found
"CruiseSan Francisco, CA, USA",Unknown,Self-driving cars.,Startup Jobs; Active Founders,Not found
"BenchlingSan Francisco, CA, USA",Unknown,Unlocking the power of biotech with modern software for modern science,"Sajith Wickramasekara
Founder/CEO; LinkedIn · Sajith Wickramasekara
5.6K+ followers",https://www.linkedin.com/in/sajithw
"CasetextSan Francisco, CA, USA",Unknown,We make the world's laws free and understandable.,Startup Jobs; Am Law,Not found
"BirdAmsterdam, NH, Netherlands",Unknown,The world’s largest omnichannel communications platform,Startup Jobs; Work Anywhere,Not found
"BrexSan Francisco, CA, USA",Unknown,"Business accounts, corporate cards, and spend management software.",Founder and CEO at Brex.,https://www.linkedin.com/in/pfranceschi
"The AthleticSan Francisco, CA, USA",Unknown,Subscription sports media.,Founder of The Athletic (S16).,https://www.linkedin.com/in/adamhansmann
"CodecademyNew York, NY, USA",Unknown,The leading online learning platform for technical skills.,"Zach Sims
 Founder/CEO",https://www.linkedin.com/in/zacharysims
"CheckrSan Francisco, CA, USA",Unknown,People infrastructure for the future of work,Startup Jobs; Active Founders,Not found
"LeverSan Francisco, CA, USA",Unknown,Talent Acquisition Suite that combines ATS + Talent CRM,Startup Jobs; Talent Acquisition,Not found
"ClipboardSan Francisco, CA, USA",Unknown,Connects workplaces with professionals nearby.,Startup Jobs; Active Founders,Not found
"HeapSan Francisco, CA, USA",Unknown,Captures user interactions with no code to generate analytics.,"Matin Movassate
 Founder/CEO; LinkedIn · Matin Movassate
4.8K+ followers",https://www.linkedin.com/in/matin-movassate-29494723
"SendwaveBoston, MA, USA",Unknown,"Instant, no fee international remittances.","CEO at Wave; LinkedIn · Lincoln Quirk
870+ followers",https://sn.linkedin.com/in/drew-durbin-52517614; https://www.linkedin.com/in/lincolnquirk
"DeelSan Francisco, CA, USA",Unknown,The all-in-one HR and payroll platform for global teams,"Co-founder & CEO @Deel; LinkedIn · Deel
560+ reactions · 10 months ago",https://il.linkedin.com/in/alexbouaziz
"CleverSan Francisco, CA, USA",Unknown,The platform that powers technology in the classroom.,Startup Jobs; Active Founders,Not found
Caper,Unknown,Plug-and-play cashier-less retail powered by computer vision and AI,Startup Jobs; Active Founders,Not found
"EquipmentShareColumbia, MO, USA",Unknown,Cloud solutions for the construction industry.,Founder @ EquipmentShare - YC W 2015,https://www.linkedin.com/in/jabbok-schlacks-319a378a
"RedditSan Francisco, CA, USA",Unknown,The frontpage of the internet.,Startup Jobs; Steve Huffman,Not found
"FivestarsSan Francisco, CA, USA",Unknown,Customer loyalty and payments platform for small businesses.,Startup Jobs; Menlo Ventures,Not found
"Machine ZonePalo Alto, CA, USA",Unknown,Pioneers of mobile social gaming.,Startup Jobs; Machine Zone,Not found
"FaireSan Francisco, CA, USA",Unknown,The global online platform empowering independent retail.,Startup Jobs; Latest News,Not found
"FivetranOakland, CA, USA",Unknown,The leader in automated data movement,"Taylor Brown
 Founder/COO
George Fraser
 Founder; Scalelist
https://scalelist.com › CEOs",https://ca.linkedin.com/in/taylorbennettbrown
"OptimizelySan Francisco, CA, USA",Unknown,The first all-in-one operating system for marketing,Startup Jobs; At Optimizely,Not found
"FlexportSan Francisco, CA, USA",Unknown,Platform for global logistics.,"Founder of Flexport; LinkedIn · Ryan Petersen
49.7K+ followers","https://www.linkedin.com/in/rpetersen#:~:text=Ryan%20Petersen%20%2D%20Founder%20and%20CEO,Ryan%20Petersen"
"WePayRedwood City, CA, USA",Unknown,Payments for platform businesses.,Startup Jobs; Online Marketplaces,Not found
"WeeblySan Francisco, CA, USA",Unknown,Build a free website that grows with your business.,"Founder/CEO of Weebly; LinkedIn · Chris Fanini
1K+ followers",https://www.linkedin.com/in/chrisfanini; https://www.linkedin.com/in/chrisfanini
"Flock SafetyAtlanta, GA, USA",Unknown,The first public safety operating system that eliminates crime.,I spit rhymes in n log(n) time.,https://www.linkedin.com/in/holly-beilin
"SqreenSan Francisco, CA, USA",Unknown,Sqreen is the application security platform for the modern enterprise,Startup Jobs; Active Founders,Not found
"NURXNew York, NY, USA",Unknown,"Medicine or testing kit, prescribed online and delivered to your door.","Edvard Engesaeth
 Founder; Scalelist
https://scalelist.com › CEOs",https://www.linkedin.com/in/edvardeng
"Go1San Francisco, CA, USA",Unknown,A learning platform that enables you to train your staff or customers.,Startup Jobs; Latest News,Not found
"CoreOSSan Francisco, CA, USA",Unknown,Open source tools of modern distributed systems.,"Alex Polvi
 Founder/CEO",https://www.linkedin.com/in/polvi
"Bear Flag RoboticsNewark, CA, USA",Unknown,Autonomous driving technology for farm tractors.,Startup Jobs; Bear Flag,Not found
"GOAT GroupLos Angeles, CA, USA",Unknown,"Platform for the greatest products from the past, present and future.","Eddy Lu
 Founder
Daishin Sugano
 Founder/CPO; Scalelist
https://scalelist.com › CEOs",https://www.linkedin.com/in/eddylu
"HerokuSan Francisco, CA, USA",Unknown,Enabling developers to build and run applications in the cloud.,Startup Jobs; Latest News,Not found
"GrubMarketSan Francisco, CA, USA",Unknown,AI-powered technology enabler and digital transformer of American…,"Mike Xu
 Founder/CEO, , President",https://www.linkedin.com/in/mikexu11
"HelloSignSan Francisco, CA, USA",Unknown,eSignature software for small and mid-market businesses.,"Neal O'Mara
 Founder/CTO",https://www.linkedin.com/in/nealomara
"ZenefitsSan Francisco, CA, USA",Unknown,"HR for small businesses: onboarding, payroll and benefits.","Laks Srini
 Founder/CTO",https://www.linkedin.com/in/lakssrini
"GustoSan Francisco, CA, USA",Unknown,Provides growing businesses with everything to take care of their team,Co-founder and Head of Engineering at Gusto,https://www.linkedin.com/in/brianl429
"HoneyloveLos Angeles, CA, USA",Unknown,Honeylove makes functional undergarments for women,"Betsie Larkin
 Founder/CEO; LinkedIn · Betsie Larkin
17.3K+ followers",https://www.linkedin.com/in/betsielarkin
"Modern FertilitySan Francisco, CA, USA",Unknown,At-home fertility test for women who aren't ready for kids right now…,"Afton Vechery
 Founder/CEO
Carly Leahy
 Founder",Not found
"CognitoPalo Alto, CA, USA",Unknown,"Frictionless, modern identity verification that starts with just a…",Startup Jobs; Social Security,Not found
"OpenInvestSan Francisco, CA, USA",Unknown,Values based personalization at scale for asset and wealth management,Startup Jobs; Public Benefit,Not found
"MixpanelSan Francisco, CA, USA",Unknown,Mixpanel is event analytics for builders that need answers.,Startup Jobs; Former Founders,Not found
"PaystackLagos, LA, Nigeria",Unknown,Modern payments infrastructure for Africa,Startup Jobs; San Francisco,Not found
"Moxion Power Co.Richmond, CA, USA",Unknown,Mobile Energy Storage Technology,Startup Jobs; Moxion Power,Not found
"DrChronoCA, USA",Unknown,The essential platform for modern medical practices and patients.,Startup Jobs; Active Founders,Not found
"OMGPopNew York, NY, USA",Unknown,An independent flash game studio.,Startup Jobs; New York,Not found
"NewfrontSan Francisco, CA, USA",Unknown,Modern insurance brokerage.,Startup Jobs; Business Insurance,Not found
"NorthKitchener, ON, Canada",Unknown,Wearable computing hardware: biosignal gesture recognition,Startup Jobs; Thalmic Labs,Not found
Nowports,Unknown,The core engine of supply chain in LATAM,Startup Jobs; Freight Forwarder,Not found
"OdekoNew York, NY, USA",Unknown,Our operations software makes it easier to run--and grow--your cafe,"James Burkhardt
 Founder; LinkedIn · James B.
12.4K+ followers",https://www.linkedin.com/in/jameseburkhardt
"GitPrimeDurango, CO, USA",Unknown,Visibility and analytics for software development leaders.,"GitPrime (YC W16), acq Pluralsight",Not found
"ProxySan Francisco, CA, USA",Unknown,Smart ring digital wallet,Startup Jobs; Active Founders,Not found
"FutureAdvisorSan Francisco, CA, USA",Unknown,The online financial management service for everyone.,Startup Jobs; San Francisco,Not found
"PodiumLehi, UT, USA",Unknown,Get more leads. Make more money.,Startup Jobs; Next Billion,Not found
"RappiBogotá, Bogota, Colombia",Unknown,On-demand delivery and financial services for Latin America.,Startup Jobs; Latin America,Not found
"RazorpayBengaluru, KA, India",Unknown,India's only full-stack financial solutions company for businesses.,Startup Jobs; Harshil Mathur,Not found
"RipplingSan Francisco, CA, USA",Unknown,"One place to run all your HR, IT, and Finance. Globally.",Startup Jobs; With Rippling,Not found
"Scale AISan Francisco, CA, USA",Unknown,Data-centric infrastructure to accelerate the development of AI,"Alexandr Wang
 Founder/CEO",https://www.linkedin.com/in/alexandrwang
"ScentbirdNew York, NY, USA",Unknown,Scentbird is a luxury fragrance subscription service.,"Mariya Nurislamova
 Founder",https://www.linkedin.com/in/mariyanurislamova
"ScribdSan Francisco, CA, USA",Unknown,World's largest online library.,Founded Scribd (S'06),https://www.linkedin.com/in/tonygrimminck
"ShipBobChicago, IL, USA",Unknown,Providing Amazon level logistics to e-commerce businesses.,"Divey Gulati
 Founder
Dhruv Saxena
 Founder; LinkedIn · dhruv saxena
3.9K+ followers",https://www.linkedin.com/in/dhruv-saxena-4568034
"SmartAssetNew York, NY, USA",Unknown,Marketplace connecting consumers to financial advisors,"Michael Carvin
 Founder/CEO; LinkedIn · Joe Carvin
770+ followers",https://www.linkedin.com/in/michael-carvin-5315692a; https://www.linkedin.com/in/joe-carvin-47619181
"StripeSan Francisco, CA, USA",Unknown,Economic infrastructure for the internet.,Startup Jobs; Latest News,Not found
"WaveDakar, Dakar Region, Senegal",Unknown,Mobile money app for Africa,"CEO at Wave; LinkedIn · Moustapha Ndoye
4.3K+ followers",https://sn.linkedin.com/in/coura-carine-tine-sene
"WebflowSan Francisco, CA, USA",Unknown,Professional website design and publishing platform.,Startup Jobs; Orange Theory,Not found
"WhatnotLos Angeles, CA, USA",Unknown,Whatnot is the largest livestream shopping platform in the U.S.,"Grant LaFontaine
 Founder/CEO
Logan Head
 Founder; LinkedIn · Grant LaFontaine
1.8K+ followers",https://www.linkedin.com/in/grantlafontaine
"ZapierMountain View, CA, USA",Unknown,The easiest way to automate your work.,Co-founder and CEO at Zapier,https://www.linkedin.com/in/wadefoster
"ZeptoMH, India",Unknown,10-Minute Grocery Delivery in India,"Aadit Palicha
 Founder
Kaivalya Vohra
 Founder",Not found
"Focal SystemsNew York, NY, USA",Unknown,Building the Operating System for B&M Retail using Deep Learning,Startup Jobs; Focal Systems,Not found
"MioAustin, TX, USA",Unknown,Mio powers seamless communication between workplace chat apps.,Startup Jobs; Microsoft Teams,Not found
"DailySan Francisco, CA, USA",Unknown,Conversational Voice and Multimodal AI built with Open Source,"Kwindla Hultman Kramer
 Founder",https://www.linkedin.com/in/kwkramer
"PetcubeSan Francisco, CA, USA",Unknown,Petcube is on the mission to improve lives of pets and pet owners…,Startup Jobs; Petcube Camera,Not found
"OutschoolSan Francisco, CA, USA",Unknown,A live online learning platform that empowers kids ages 3–18.,"Nicholas Grandy
 Founder
Amir Nathoo
 Founder",Not found
"MasonSeattle, WA, USA",Unknown,Mason is the fastest way to take smart devices from idea to end user,Startup Jobs; The Mason,Not found
"MagicBusLos Angeles, CA, USA",Unknown,We make vanpool simple.,Startup Jobs; Former Founders,Not found
"TovalaChicago, IL, USA",Unknown,A smart-oven-paired subscription meal service.,Startup Jobs; Active Founders,Not found
"iSono HealthSan Francisco, CA, USA",Unknown,AI-powered platform for Accessible and Personalized Breast Health…,"Shadi Saberi
 Founder/CTO",https://www.linkedin.com/in/ssaberig
"GetAcceptSan Francisco, CA, USA",Unknown,Close deals faster. Digitally.,Startup Jobs; Digital Sales,Not found
"ChatfuelSan Francisco, CA, USA",Unknown,Platform to easily create chatbots to engage with audiences on…,Startup Jobs; Facebook Messenger,Not found
"YardbookSan Mateo, CA, USA",Unknown,Marketplace & Software Revolutionizing Yard Care,"Mark Ke
 Founder/CEO; LinkedIn · Mark Ke
820+ followers",https://www.linkedin.com/in/mark-ke-a970841; https://www.linkedin.com/in/mark-ke-a970841
"GoCardlessLondon, England, United Kingdom",Unknown,We’re building the world’s bank payment network.,Startup Jobs; Accel Partners,Not found
"Stealth WorkerMenlo Park, CA, USA",Unknown,"Information Security (Cyber Security), Compliance and Privacy (GDPR &…","Ken Baylor
 Founder",https://www.linkedin.com/in/kennethmbaylor
"DeepgramSan Francisco, CA, USA",Unknown,Building foundational AI for speech transcription and understanding.,"Technical CEO, DL person, particle physicist.; LinkedIn · Zach Supalla
7.5K+ followers",https://www.linkedin.com/in/sarabeykpour
"SOUNDBOKSCopenhagen, Denmark",Unknown,We're creating the loudest battery-driven speaker on the market,Startup Jobs; North America,Not found
"LatticeSan Francisco, CA, USA",Unknown,Modern people management platform.,Startup Jobs; Latest News,Not found
"MuxSan Francisco, CA, USA",Unknown,Video infrastructure for developers,Startup Jobs; Mux Video,Not found
"Human InterestSan Francisco, CA, USA",Unknown,The 401(k) for small and medium-sized businesses.,"Co-Founder @ Human Interest; LinkedIn · Roger Lee
4.2K+ followers",https://www.linkedin.com/in/rogerrlee
"Flirtey (SkyDrop)Reno, NV, USA",Unknown,Flirtey is the world’s first commercial drone delivery service and…,"Matthew Sweeny
 Founder/CEO",https://www.linkedin.com/in/matthew-sweeny-732b70127
"Eight SleepNew York, NY, USA",Unknown,The sleep fitness company.,Startup Jobs; Eight Sleep,Not found
"InstaworkSan Francisco, CA, USA",Unknown,A flexible work app that connects businesses with hourly workers.,"Sumir Meghani
 Founder/CEO",https://www.linkedin.com/in/sumirmeghani
"Cofactor GenomicsSt. Louis, MO, USA",Unknown,Cofactor closes the precision medicine gap with predictive diagnostics,Startup Jobs; Cofactor Genomics,Not found
"Click & GrowPalo Alto, CA, USA",Unknown,Click & Grow makes indoor urban gardens and farms that take complete…,"Mattias Lepp
 Founder; LinkedIn · Mattias Lepp
1K+ followers",https://ee.linkedin.com/in/mattiaslepp; https://ee.linkedin.com/in/mattiaslepp
"BitmovinSan Francisco, CA, USA",Unknown,Powers OTT online video providers with video developer tools.,Startup Jobs; Active Founders,Not found
"TetraScienceBoston, MA, USA",Unknown,The only R&D data cloud for life sciences,"Siping Wang
 Founder/CTO",https://www.linkedin.com/in/siping-wang-205a3247
"The Ticket FairyLos Angeles, CA, USA",Unknown,Revenue generation for live events,Startup Jobs; The Ticket,Not found
"Font AwesomeBentonville, AR, USA",Unknown,Icons and social logos for your website.,Startup Jobs; Font Awesome,Not found
"80,000 HoursLondon, England, United Kingdom",Unknown,An online guide that tells talented graduates how to maximise the…,Startup Jobs; Team Size,Not found
"XenditJakarta, Jakarta, Indonesia",Unknown,Provides payment infrastructure for Southeast Asia,Startup Jobs; Southeast Asia,Not found
"Shred VideoSan Francisco, CA, USA",Unknown,Shred Video builds automated video & photo systems that allow…,"Mike Allen
 Founder/CEO
Mark Godfrey
 Founder/CTO",Not found
"Shape (ShapeScale)San Francisco, CA, USA",Unknown,ShapeScale is a personal 3D scanner and fitness tracker that…,Startup Jobs; San Francisco,Not found
"RedCarpetUpGurugram, HR, India",Unknown,Credit cards for Indians that banks cannot see,Startup Jobs; Capital One,Not found
"Plate IQNew York, NY, USA",Unknown,Automated Accounts Payable,Startup Jobs; Automated Accounts,Not found
"PickTraceLos Angeles, CA, USA",Unknown,Workforce Management for Large Farms,Startup Jobs; Workforce Management,Not found
"FountainSan Francisco, CA, USA",Unknown,High volume hiring made simple,"Keith Ryu
 Founder/CEO",https://www.linkedin.com/in/kibaekr
"MicrohealthNew York, NY, USA",Unknown,Digital hematology,Startup Jobs; Novo Nordisk,Not found
"ZeplinSan Francisco, CA, USA",Unknown,Deliver on the Promise of Design,Zeplin S15,Not found
"MarkhorSan Francisco, CA, USA",Unknown,Markhor is a DTC company that works with craftsmen to make shoes and…,Startup Jobs; Former Founders,Not found
Circle Medical,Unknown,Modern primary care via video and in-person,"Cofounder and CTO at Circle Medical.; Tracxn
https://tracxn.com › Discover › Companies",https://www.linkedin.com/in/jsboulanger
"GiveCampusWashington, DC, USA",Unknown,The fundraising platform for schools.,Startup Jobs; Latest News,Not found
"Drip CapitalMH, India",Unknown,Digital trade financing for small businesses,"Pushkar Mukewar
 Founder/CEO; LinkedIn · Pushkar Mukewar
14.8K+ followers",https://in.linkedin.com/in/pushkar-mukewar-0316951
"ChaldalDhaka, Dhaka Division, Bangladesh",Unknown,SUMMER 2015,Startup Jobs; At Chaldal,Not found
"ClerkyPalo Alto, CA, USA",Unknown,Makes legal paperwork easy for startups and their attorneys.,Startup Jobs; Active Founders,Not found
